1843            : 1 : [p11:s0], 
abed            : 1 : [p464:s3], 
abels           : 1 : [p134:s3], 
abject          : 1 : [p519:s0], 
able            : 2 : [p331:s1], [p660:s6], 
abode           : 1 : [p196:s1], 
about           : 52 : [p44:s1], [p45:s1], [p49:s6], [p63:s4], [p86:s0], [p109:s0], [p123:s5], [p124:s0], [p124:s1], [p125:s1], [p130:s0], [p143:s2], [p143:s3], [p145:s1], [p147:s1], [p161:s3], [p180:s0], [p184:s0], [p212:s2], [p242:s1], [p242:s6], [p263:s1], [p283:s0], [p287:s1], [p289:s0], [p315:s11], [p353:s0], [p383:s1], [p412:s0], [p422:s2], [p443:s4], [p443:s5], [p464:s4], [p464:s5], [p468:s0], [p473:s1], [p483:s1], [p496:s1], [p497:s14], [p501:s1], [p529:s0], [p537:s0], [p545:s0], [p547:s0], [p570:s0], [p603:s1], [p606:s1], [p656:s0], [p714:s1], [p748:s0], [p757:s1], [p768:s1], 
above           : 7 : [p48:s1], [p129:s1], [p405:s0], [p471:s3], [p472:s0], [p475:s0], [p655:s0], 
abrahams        : 1 : [p134:s3], 
abroad          : 2 : [p174:s0], [p401:s2], 
abstinence      : 1 : [p773:s0], 
abundance       : 1 : [p100:s1], 
abyss           : 1 : [p476:s0], 
accommodate     : 1 : [p420:s1], 
accompanied     : 3 : [p294:s1], [p309:s0], [p679:s0], 
account         : 4 : [p589:s0], [p590:s3], [p591:s2], [p757:s1], 
accuracy        : 1 : [p610:s0], 
accustomed      : 2 : [p570:s0], [p764:s1], 
ache            : 1 : [p603:s3], 
achieved        : 1 : [p443:s1], 
acquaintance    : 1 : [p478:s1], 
acquainted      : 1 : [p380:s0], 
across          : 4 : [p129:s3], [p135:s1], [p276:s0], [p738:s1], 
act             : 3 : [p130:s0], [p361:s4], [p545:s0], 
acted           : 1 : [p321:s0], 
action          : 2 : [p113:s0], [p373:s0], 
active          : 1 : [p438:s0], 
adamant         : 1 : [p455:s0], 
adapted         : 1 : [p259:s0], 
add             : 1 : [p326:s3], 
added           : 3 : [p70:s1], [p366:s2], [p588:s3], 
address         : 1 : [p731:s0], 
addressed       : 3 : [p241:s1], [p289:s0], [p334:s0], 
addressing      : 1 : [p88:s1], 
adjoining       : 1 : [p381:s3], 
adjusted        : 2 : [p307:s1], [p611:s2], 
adjustment      : 1 : [p479:s0], 
administered    : 1 : [p295:s3], 
administrator   : 1 : [p46:s4], 
admiration      : 3 : [p440:s2], [p498:s1], [p505:s1], 
admit           : 1 : [p525:s8], 
admitted        : 1 : [p114:s1], 
advance         : 1 : [p319:s8], 
advanced        : 3 : [p471:s0], [p546:s1], [p681:s1], 
advantage       : 1 : [p50:s4], 
adventure       : 1 : [p380:s0], 
adversary       : 1 : [p373:s0], 
affability      : 1 : [p476:s1], 
affairs         : 1 : [p770:s3], 
affection       : 1 : [p361:s2], 
affectionate    : 1 : [p315:s10], 
affects         : 1 : [p161:s0], 
afford          : 1 : [p103:s2], 
afforded        : 1 : [p606:s1], 
affront         : 1 : [p497:s11], 
afraid          : 7 : [p99:s1], [p292:s5], [p393:s1], [p581:s0], [p587:s3], [p587:s3], [p603:s0], 
after           : 23 : [p47:s3], [p136:s0], [p174:s0], [p215:s1], [p227:s3], [p229:s1], [p281:s3], [p283:s0], [p315:s9], [p316:s1], [p402:s4], [p412:s0], [p463:s0], [p464:s0], [p494:s3], [p496:s0], [p497:s1], [p497:s7], [p558:s0], [p574:s2], [p585:s0], [p585:s1], [p623:s0], 
afternoon       : 10 : [p76:s2], [p78:s0], [p80:s0], [p82:s0], [p84:s0], [p107:s3], [p124:s2], [p363:s0], [p748:s2], [p770:s3], 
